label,label
"Base Image","Base Image"
"Small Image","Small Image"
Thumbnail,Thumbnail
None,None
AllOptional,AllOptional
LastWords,LastWords
FirstWords,FirstWords
"Search for products, categories, ...","Търсене за продукти, категории, ..."
Search,Търсене
Search:,Търсене:
in,в
Categories,Категории
Products,Продукти
"Search by","Търсене по"
Refine,Детайлизиране
"Current search","Текущо търсене"
"Search for products","Търсене за продукти"
"SORT BY","СОРТИРАНЕ ПО"
"Add to Cart","В кошницата"
result,резултат
"results found","намерени резултата"
seconds,секунди
Relevance,Уместност
"No products for query","Няма открити продукти"
"You can try one of the popular search queries","Може да опитате някой от по популярните търсения"
or,или
"See all products","Всички продукти"
"Selected Filters","Избрани филтри"
"Clear all","Изчистване на всичко"
"Previous page","Назад"
"Next page","Напред"
to,до
Go,ОК
"No results","Няма открити резултати"
"See products in","Преглед на продуктите в"
"All departments","Всички отдели"
"or in","или в"
"out of","от"
"Algolia Search","Algolia Search"
"Credentials and Setup","Credentials and Setup"
"Enable Indexing","Enable Indexing"
" If set to No, Algolia extension will simply be disabled."," If set to No, Algolia extension will simply be disabled."
"Enable Search","Enable Search"
"If set to No, search will be done by Algolia but renderered by Magento","If set to No, search will be done by Algolia but renderered by Magento"
"Enable Logging","Enable Logging"
"NOTICE: Debug logging generates a significant amount of data and can affect performance of indexing","NOTICE: Debug logging generates a significant amount of data and can affect performance of indexing"
"Application ID","Application ID"
"Your Application ID, which can be found in the Credentials section of your Algolia account.","Your Application ID, which can be found in the Credentials section of your Algolia account."
"Search-only (public) API key","Search-only (public) API key"
"A search-only API key (will be included in the public JavaScript code)","A search-only API key (will be included in the public JavaScript code)"
"Admin API key","Admin API key"
"Your administration API key (kept private)","Your administration API key (kept private)"
"Index Name Prefix","Index Name Prefix"
"If configured, all indices created by the Algolia search extension will be prefixed by this value.","If configured, all indices created by the Algolia search extension will be prefixed by this value."
"Enable Auto-completion Menu","Enable Auto-completion Menu"
"Search for other ...","Търсене на друго ..."
"Show more products","Още продукти"
"As low as","от"
"Rating","Рейтинг"
